Time (s),Velocity [m/s],Drag Force [N],S.O.C
1470.0475744197302,24.627286102708403,151.6258051961636,0.9133327911243726
1470.052406469573,24.627558769262553,151.6291627333702,0.9133325833939244
1470.057238519416,24.627832435291335,151.632532615197,0.9133323756634716
1470.0620705692588,24.62810710059527,151.63591483959777,0.9133321679330141
1470.070283800992,24.62857625259051,151.6416920574163,0.9133318148450922
1470.0784970327252,24.629048290054865,151.64750491846362,0.9133314617571567
1470.0867102644584,24.629523212010216,151.65335341273752,0.9133311086692077
1470.0949234961915,24.630001017479177,151.65923753025632,0.9133307555812451
1470.1031367279247,24.63048170548498,151.66515726105754,0.913330402493269
1470.128367344257,24.63197636773036,151.68356494510672,0.9133293178254742
1470.1535979605892,24.633498193841522,151.70230831649837,0.9133282331575515
1470.1788285769214,24.63504715655173,151.72138710138188,0.9133271484895008
1470.2040591932537,24.63662322771897,151.74080101614547,0.9133260638213222
1470.3867900900207,24.648842852297797,151.89136348931805,0.9133182081874096
1470.5695209867877,24.66247201092249,152.05938142238378,0.9133103525467876
1470.7522518835547,24.677500730510012,152.24476057608055,0.913302496899456
1470.9349827803217,24.693918723669285,152.4474054827961,0.913294641245415
1471.0,24.700093840848858,152.5236589366849,0.9132918461347401
1471.0153708714097,24.70127153279286,152.5382038341907,0.9132912150056802
1471.0307417428194,24.702458913810926,152.55286909712922,0.913290583876574
1471.0434726368783,24.703449357272838,152.56510253683595,0.9132900611450979
1471.0562035309372,24.70444663576566,152.5774208948483,0.9132895384135887
1471.068934424996,24.705450720565594,152.58982382657376,0.9132890156820472
1471.1474279854544,24.711783529268498,152.66806129935645,0.9132857927294138
1471.2259215459128,24.71837004027982,152.74945436205073,0.9132825697755613
1471.3044151063712,24.725212242953482,152.83403011477418,0.9132793468204764
1471.3829086668295,24.732310318121787,152.92179341796836,0.9132761238641544
1471.467678476496,24.74026261262282,153.02014853538566,0.9132726432027913
1471.5524482861626,24.7485242006949,153.12236252809527,0.9132691625399844
1471.574562357408,24.750735646855187,153.149728765127,0.9132682545322192
1471.5966764286534,24.752975867674575,153.17745357641996,0.9132673465243557
1471.6187904998988,24.755245493410726,153.20554485975802,0.913266438516394
1471.6409045711441,24.757544587273774,153.23400349771222,0.9132655305083339
1471.7631996596301,24.77078846026168,153.3979902357583,0.9132605090464763
1471.8854947481161,24.784926951894956,153.57315100269224,0.9132554875816133
1472.0,24.798972122879896,153.74725458784354,0.9132507859665343
1472.012813296808,24.80026051341598,153.76323038332498,0.9132502917862705
1472.025626593616,24.801558571922428,153.77932689912473,0.9132497976059745
1472.0362500750566,24.802641786171765,153.79275989328843,0.9132493878819528
1472.0468735564973,24.80373183569745,153.80627824429783,0.9132489781579083
1472.057497037938,24.804828692680037,153.8198816183007,0.9132485684338411
1472.1236993413145,24.811808995017294,153.90646640130527,0.9132460151576578
1472.1566208354993,24.815364444913925,153.95057813347455,0.9132447454482374
1472.1810112821613,24.81801762669409,153.98349972972463,0.9132438047623651
1472.2054017288233,24.8206783627365,154.016518596604,0.9132428640763732
1472.2297921754853,24.823344864044522,154.04961255982138,0.9132419233902617
1472.2541826221473,24.826016882500912,154.0827785625551,0.9132409827040308
1472.3396899474362,24.83542874394351,154.19963022387387,0.9132376848723963
1472.4251972727252,24.844909563076303,154.31738279936008,0.9132343870392927
1472.5107045980142,24.85445929381002,154.4360366969148,0.91323108920472
1472.5962119233031,24.864077739072727,154.55559045366297,0.9132277913686782
1472.9199031645635,24.901105283506656,155.01626108507077,0.9132153072712497
1473.0,24.910418189740792,155.13223359694223,0.913212218099775
1473.0325006329813,24.913179000868304,155.16662198232635,0.9132110641001149
1473.0581001365151,24.915360612705577,155.1937986152901,0.9132101551386579
1473.083699640049,24.917549182030776,155.22106430973065,0.913209246177069
1473.1092991435828,24.919744688660597,155.248418837007,0.9132083372153482
1473.2868365514644,24.93515182942722,155.4404491891469,0.9132020333901251
1473.464373959346,24.950885349316415,155.63666992868315,0.9131957295586545
1473.5157296633347,24.95549289773738,155.6941564422552,0.9131939060673978
1473.5468480839354,24.958278155321665,155.72891211960166,0.9131928011427887
1473.577966504536,24.96104547247497,155.76344776974082,0.9131916962179849
1473.6090849251368,24.963792348328276,155.79773210261334,0.9131905912929866
1473.6402033457375,24.966518406094202,155.83176033046016,0.9131894863677936
1473.7351153870584,24.974705480740308,155.93397846243,0.9131861163142708
1473.8300274283793,24.982701101437467,156.0338385809412,0.9131827462589379
1473.9249394697001,24.990506155945784,156.13134948259102,0.9131793762017948
1474.0,24.996544255442736,156.2068061785768,0.91317671101417
1474.0215380966479,24.99761177683991,156.22014863640135,0.913176008363168
1474.0430761932957,24.99867040096282,156.23338045399365,0.9131753057120752
