Reynolds_Number,Drag_Coefficient
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1427260.726,0.932076687
1421472.407,0.927661673
1421472.407,0.927661673
1421472.407,0.927661673
1421472.407,0.927661673
1421472.407,0.927661673
1421472.407,0.927661673
1421472.407,0.927661673
1421472.407,0.927661673
1421472.407,0.927661673
1421472.407,0.927661673
1421472.407,0.927661673
1421472.407,0.927661673
1421472.407,0.927661673
1436904.373,0.922638177
1436904.373,0.922638177
1436904.373,0.922638177
1436904.373,0.922638177
1436904.373,0.922638177
